# #stocks, #noise, #price, #walk, #kn, #action
5090,57,0.001000000000000007,441,441,sell
5153,19,-0.005999999999999993,498,504,sell
5182,38,-0.011999999999999997,517,533,sell
5220,-11,-0.021000000000000005,555,571,buy
5209,-19,-0.010999999999999996,544,560,buy
5184,12,-0.003999999999999993,525,535,sell
5196,-3,-0.010999999999999996,537,547,buy
5192,-18,-0.005999999999999993,534,543,buy
5159,-9,-0.000999999999999993,516,510,buy
5145,10,0.001000000000000007,507,496,sell
5155,22,-0.001999999999999993,517,506,sell
5179,-53,-0.006999999999999993,539,530,buy
5125,-14,0.003000000000000007,486,476,buy
5106,7,0.005000000000000007,472,457,sell
5114,-2,0.002000000000000007,479,465,buy
5109,1,0.004000000000000007,477,460,sell
5111,-2,0.003000000000000007,478,462,buy
5109,22,0.004000000000000007,476,460,sell
5133,-3,-0.000999999999999993,498,484,buy
5127,-2,0.001000000000000007,495,478,buy
5123,13,0.002000000000000007,493,474,sell
5137,-13,-0.001999999999999993,506,488,buy
5121,26,0.002000000000000007,493,472,sell
5147,21,-0.003999999999999993,519,498,sell
5171,14,-0.009999999999999995,540,522,sell
5185,4,-0.011999999999999997,554,536,sell
5198,29,-0.015,558,549,sell
5229,2,-0.024000000000000007,587,580,sell
5238,-11,-0.030000000000000013,589,589,buy
5227,-11,-0.018000000000000002,578,578,buy
5215,2,-0.013999999999999999,567,566,sell
5217,-7,-0.017,569,568,buy
5210,-26,-0.012999999999999998,562,561,buy
5179,-5,-0.005999999999999993,536,530,buy
5169,-59,-0.003999999999999993,531,520,buy
5110,12,0.003000000000000007,472,461,sell
5124,39,-0.000999999999999993,484,475,sell
5167,5,-0.010999999999999996,523,518,sell
5173,15,-0.011999999999999997,528,524,sell
5194,-17,-0.017,543,545,buy
5173,26,-0.005999999999999993,526,524,sell
5199,5,-0.019000000000000003,552,550,sell
5205,16,-0.021000000000000005,557,556,sell
5222,-33,-0.02700000000000001,573,573,buy
5188,6,-0.008999999999999994,540,539,sell
5196,-6,-0.015,546,547,buy
5188,9,-0.008999999999999994,540,539,sell
5201,-13,-0.017,549,552,buy
5188,-27,-0.008999999999999994,536,539,buy
5159,-1,-0.001999999999999993,509,510,buy
5142,8,-0.000999999999999993,508,493,sell
5150,1,-0.003999999999999993,516,501,sell
5156,12,-0.004999999999999993,517,507,sell
5168,36,-0.009999999999999995,529,519,sell
5204,-44,-0.022000000000000006,565,555,buy
5153,31,-0.001999999999999993,521,504,sell
5188,8,-0.016,552,539,sell
5200,-14,-0.019000000000000003,560,551,buy
5183,-4,-0.008999999999999994,546,534,buy
5178,5,-0.007999999999999993,542,529,sell
5183,-23,-0.012999999999999998,547,534,buy
5153,-33,-0.001999999999999993,524,504,buy
5113,-7,0.002000000000000007,491,464,buy
5103,-6,0.004000000000000007,484,454,buy
5089,11,0.005000000000000007,478,440,sell
5102,-25,0.001000000000000007,489,453,buy
5077,-19,0.008000000000000007,464,428,buy
5049,-6,0.014000000000000012,445,400,buy
5034,-27,0.017000000000000015,439,385,buy
5006,7,0.026000000000000023,412,357,sell
5014,-8,0.016000000000000014,419,365,buy
5006,7,0.026000000000000023,411,357,sell
5014,-17,0.016000000000000014,418,365,buy
4993,11,0.029000000000000026,401,344,sell
5005,-6,0.017000000000000015,412,356,buy
4998,-17,0.027000000000000024,406,349,buy
4977,20,0.041000000000000036,389,328,sell
4997,36,0.020000000000000018,409,348,sell
5035,-24,0.01200000000000001,445,386,buy
5005,52,0.029000000000000026,421,356,sell
5061,4,0.006000000000000007,473,412,sell
5081,-4,0.003000000000000007,477,432,buy
5077,10,0.005000000000000007,473,428,sell
5090,-40,0.001000000000000007,483,441,buy
5046,-9,0.015000000000000013,443,397,buy
5036,-20,0.019000000000000017,434,387,buy
5012,-17,0.025000000000000022,414,363,buy
4991,-7,0.030000000000000027,397,342,buy
4981,-38,0.03600000000000003,390,332,buy
4940,15,0.04500000000000004,352,291,sell
4958,-17,0.025000000000000022,367,309,buy
4940,-9,0.04500000000000004,350,291,buy
4929,42,0.04700000000000004,341,280,sell
4971,7,0.016000000000000014,383,322,sell
4982,21,0.015000000000000013,390,333,sell
5010,-24,0.009000000000000008,411,361,buy
4984,33,0.025000000000000022,387,335,sell
5023,51,0.006000000000000007,420,374,sell
5074,3,-0.000999999999999993,471,425,sell
5079,13,-0.001999999999999993,474,430,sell
5096,9,-0.002999999999999993,487,447,sell
5108,24,-0.005999999999999993,496,459,sell
5138,13,-0.011999999999999997,520,489,sell
5159,-12,-0.015,533,510,buy
5147,-1,-0.004999999999999993,521,498,buy
5140,18,-0.003999999999999993,520,491,sell
5159,11,-0.015,538,510,sell
5173,-1,-0.018000000000000002,549,524,buy
5172,-3,-0.015,548,523,buy
5169,25,-0.012999999999999998,545,520,sell
5194,10,-0.033000000000000015,570,545,sell
5214,7,-0.03900000000000002,580,565,sell
5221,6,-0.045000000000000026,587,572,sell
5232,15,-0.06000000000000004,593,583,sell
5251,-5,-0.08100000000000006,608,602,buy
5244,15,-0.04600000000000003,603,595,sell
5259,8,-0.08700000000000006,618,610,sell
5276,-17,-0.09600000000000007,626,627,buy
5256,-32,-0.03700000000000002,609,607,buy
5223,22,-0.016,577,574,sell
5245,38,-0.033000000000000015,599,596,sell
5290,-12,-0.054000000000000034,637,641,buy
5273,-9,-0.034000000000000016,625,624,buy
5258,17,-0.02700000000000001,616,609,sell
5275,-8,-0.04700000000000003,633,626,buy
5258,-1,-0.02700000000000001,625,609,buy
5255,-14,-0.02600000000000001,624,606,buy
5241,9,-0.019000000000000003,610,592,sell
5251,-14,-0.033000000000000015,619,602,buy
